time real imag
2296 0.1149454543005504 0.1149454543005504
2297 0.004418801571747786 0.004418801571747786
2298 -0.10616202541953482 -0.10616202541953482
2299 -0.21544131185963988 -0.21544131185963988
2300 -0.3220792997498049 -0.3220792997498049
2301 -0.42476861326529863 -0.42476861326529863
2302 -0.5222502871104499 -0.5222502871104499
2303 -0.6133292013635645 -0.6133292013635645
2304 -0.6968887335808162 -0.6968887335808162
2305 -0.7719044485256408 -0.7719044485256408
2306 -0.8374566576880411 -0.8374566576880411
2307 -0.8927416946146611 -0.8927416946146611
2308 -0.9370817678150586 -0.9370817678150586
2309 -0.9699332704478555 -0.9699332704478555
2310 -0.9908934449104392 -0.9908934449104392
2311 -0.9997053206248904 -0.9997053206248904
2312 -0.9962608644830571 -0.9962608644830571
2313 -0.9806023053264503 -0.9806023053264503
2314 -0.9529216162229712 -0.9529216162229712
2315 -0.9135581608877984 -0.9135581608877984
2316 -0.8629945331029526 -0.8629945331029526
2317 -0.8018506401442771 -0.8018506401442771
2318 -0.7308761027526925 -0.7308761027526925
2319 -0.6509410648252472 -0.6509410648252472
2320 -0.5630255254992108 -0.5630255254992108
2321 -0.46820732441703916 -0.46820732441703916
2322 -0.36764892747198813 -0.36764892747198813
2323 -0.2625831750405366 -0.2625831750405366
2324 -0.15429816742775104 -0.15429816742775104
2325 -0.04412147282907098 -0.04412147282907098
2326 0.06659614858256528 0.06659614858256528
2327 0.17649730490145604 0.17649730490145604
2328 0.28423461403854333 0.28423461403854333
2329 0.38848722255153 0.38848722255153
2330 0.48797699923474264 0.48797699923474264
2331 0.5814842049367716 0.5814842049367716
2332 0.6678624464952531 0.6678624464952531
2333 0.7460527314531605 0.7460527314531605
2334 0.8150964512480197 0.8150964512480197
2335 0.8741471336994686 0.8741471336994686
2336 0.9224808207115612 0.9224808207115612
2337 0.9595049439587917 0.9595049439587917
2338 0.9847655897409108 0.9847655897409108
2339 0.9979530639398614 0.9979530639398614
2340 0.998905688852428 0.998905688852428
2341 0.9876117853499484 0.9876117853499484
2342 0.964209816063787 0.964209816063787
2343 0.9289866878411148 0.9289866878411148
2344 0.8823742342829105 0.8823742342829105
2345 0.8249439214879242 0.8249439214879242
2346 0.7573998419098847 0.7573998419098847
2347 0.6805700822230496 0.6805700822230496
2348 0.5953965710255884 0.5953965710255884
2349 0.5029235308469071 0.5029235308469071
2350 0.40428467603737933 0.40428467603737933
2351 0.30068931349337563 0.30068931349337563
2352 0.19340751662139574 0.19340751662139574
2353 0.08375455430859788 0.08375455430859788
2354 -0.026925234200727222 -0.026925234200727222
2355 -0.13727492083022075 -0.13727492083022075
2356 -0.24594162453406077 -0.24594162453406077
2357 -0.35159309754409507 -0.35159309754409507
2358 -0.4529340586532428 -0.4529340586532428
2359 -0.5487220732917283 -0.5487220732917283
2360 -0.6377827857059122 -0.6377827857059122
2361 -0.7190243164946584 -0.7190243164946584
2362 -0.7914506489905863 -0.7914506489905863
2363 -0.8541738403690852 -0.8541738403690852
2364 -0.9064249077780847 -0.9064249077780847
2365 -0.947563256025419 -0.947563256025419
2366 -0.9770845312402782 -0.9770845312402782
2367 -0.9946268042237078 -0.9946268042237078
2368 -0.9999750076806312 -0.9999750076806312
2369 -0.9930635729329028 -0.9930635729329028
2370 -0.9739772337877051 -0.9739772337877051
2371 -0.9429499877057296 -0.9429499877057296
2372 -0.900362227005346 -0.900362227005346
2373 -0.8467360752737536 -0.8467360752737536
2374 -0.7827289861607455 -0.7827289861607455
2375 -0.7091256830335021 -0.7091256830335021
2376 -0.62682853831138 -0.62682853831138
2377 -0.536846510430111 -0.536846510430111
2378 -0.4402827740673752 -0.4402827740673752
2379 -0.3383211952822817 -0.3383211952822817
2380 -0.232211817382944 -0.232211817382944
2381 -0.1232555354648572 -0.1232555354648572
2382 -0.012788147509261936 -0.012788147509261936
2383 0.09783602242644983 0.09783602242644983
2384 0.20726072814649457 0.20726072814649457
2385 0.31414442881976556 0.31414442881976556
2386 0.41717673619644985 0.41717673619644985
